epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.78242,1.88263,6.3073,1.94479,0.00089,0.33333,0.00718,0.00284,2.1099,5.57684,2.36608,3.333e-05,3.333e-05,3.333e-05
2,11.5441,2.00376,6.69246,2.03174,0.00115,0.53333,0.01228,0.00575,1.99169,4.8009,2.26272,7.62302e-05,7.62302e-05,7.62302e-05
3,13.9175,1.59774,4.67801,1.81796,0.36974,0.46667,0.41224,0.2032,1.57291,3.53118,1.83741,0.00011737,0.00011737,0.00011737
4,16.0147,1.40122,3.00038,1.58519,0.67845,0.66667,0.77873,0.50878,1.40628,2.84477,1.54552,0.000156751,0.000156751,0.000156751
5,18.4875,1.24939,2.33864,1.35301,0.68562,0.66667,0.80877,0.5391,1.34905,2.5239,1.51441,0.000194372,0.000194372,0.000194372
6,20.9193,1.21383,2.14849,1.39954,0.54937,0.7756,0.8288,0.53207,1.30137,2.50884,1.48515,0.000230233,0.000230233,0.000230233
7,22.9333,1.15264,2.02119,1.2952,0.56635,0.72384,0.86338,0.57113,1.37102,2.33577,1.5484,0.000264334,0.000264334,0.000264334
8,25.3361,1.13601,1.68234,1.27953,0.73458,0.7852,0.9026,0.56635,1.27413,2.23424,1.53301,0.000296675,0.000296675,0.000296675
9,27.4168,1.07884,1.50139,1.29296,0.66555,0.88571,0.93725,0.59618,1.34946,1.39884,1.64769,0.000327256,0.000327256,0.000327256
10,29.8433,1.12049,1.38562,1.32465,0.80967,0.9909,0.995,0.66939,1.28566,1.21297,1.65485,0.000356078,0.000356078,0.000356078
11,32.2187,1.16998,1.38141,1.33232,0.9194,0.88541,0.995,0.61507,1.46671,1.0195,1.8302,0.000383139,0.000383139,0.000383139
12,34.1863,1.04434,1.28376,1.21676,0.91052,0.87914,0.962,0.62406,1.33608,1.01014,1.60303,0.000408441,0.000408441,0.000408441
13,36.3883,1.18175,1.29879,1.35919,0.91488,0.46638,0.80277,0.52642,1.3541,1.75184,1.61588,0.000431983,0.000431983,0.000431983
14,38.408,0.97348,1.1165,1.1693,0.60659,0.62567,0.85514,0.55074,1.33641,1.70951,1.61955,0.000453766,0.000453766,0.000453766
15,40.4261,1.033,1.20493,1.25408,0.83952,0.66257,0.86583,0.58583,1.19941,1.32871,1.46488,0.000473788,0.000473788,0.000473788
16,45.4906,1.05463,1.09808,1.20717,0.60334,0.66667,0.77743,0.53185,1.26052,1.3554,1.48765,0.000492051,0.000492051,0.000492051
17,47.4912,0.98445,1.0047,1.15914,0.82751,0.85947,0.9356,0.65095,1.19454,1.15553,1.4339,0.000508554,0.000508554,0.000508554
18,49.7344,1.03569,0.99048,1.25142,0.95144,0.88769,0.995,0.69937,1.20646,0.74284,1.44863,0.000523297,0.000523297,0.000523297
19,52.0581,0.97717,1.00816,1.20011,0.89464,0.99558,0.995,0.70959,1.08757,0.64943,1.37581,0.00053628,0.00053628,0.00053628
20,54.4071,1.00259,1.06294,1.24322,0.87736,0.99501,0.995,0.68322,1.17653,0.72567,1.4578,0.000547503,0.000547503,0.000547503
21,56.6119,0.97788,0.98615,1.19188,0.79459,0.96636,0.962,0.71419,1.13766,0.74955,1.43894,0.000556967,0.000556967,0.000556967
22,58.9407,1.0377,0.93164,1.20156,0.93111,0.98455,0.995,0.70399,1.09219,0.76842,1.3815,0.00056467,0.00056467,0.00056467
23,60.921,0.97134,0.91404,1.16119,0.89474,0.97198,0.995,0.69412,1.18694,0.78739,1.52843,0.000570614,0.000570614,0.000570614
